id,beh,beh_name,switches_beh,beh_seq,macro,sub
1983,0,Базовая корзина малых городов,1,000000000000003333333333,0,1
1984,0,Базовая корзина малых городов,7,000000001010000000031000,0,1
1985,0,Базовая корзина малых городов,1,000000000000033333333333,0,4
1986,4,Общепит и услуги,3,440044444444444443333333,0,4
1987,3,Транспортная корзина,2,333333300003333333333333,0,4
1988,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1989,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1990,0,Базовая корзина малых городов,3,000000000000000002333322,1,3
1991,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1992,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1993,4,Общепит и услуги,2,000000444444444443333333,0,4
1994,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1995,3,Транспортная корзина,4,300333300000333333333333,0,4
1996,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1997,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1999,0,Базовая корзина малых городов,2,440000000000000002222222,0,4
2000,4,Общепит и услуги,0,444444444444444444444444,0,4
2001,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
2002,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
2004,4,Общепит и услуги,1,444444444444444444333333,0,4
2005,0,Базовая корзина малых городов,2,000000000000444443333333,0,4
2006,4,Общепит и услуги,3,444004444444444443333333,0,4
2007,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
2008,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
2009,0,Базовая корзина малых городов,0,000000000000000000000000,0,3
2010,0,Базовая корзина малых городов,2,000000000000044433333333,0,4
2011,0,Базовая корзина малых городов,2,000000000000000000033000,0,4
2012,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
2015,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
2017,3,Транспортная корзина,2,333333333333333333111000,3,0
2018,0,Базовая корзина малых городов,3,333333333303000000000000,0,1
2019,3,Транспортная корзина,2,333000000000333333333333,0,1
2021,3,Транспортная корзина,4,300330000000333333333333,3,1
2022,1,Продукты и маркетплейсы,6,111111133111111110001101,3,0
2023,0,Базовая корзина малых городов,4,330000000003333000000033,3,0
2024,3,Транспортная корзина,5,303333333044433333333333,0,1
2025,3,Транспортная корзина,0,333333333333333333333333,3,2
2027,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
2028,0,Базовая корзина малых городов,3,100000000011000000000000,0,1
